"gid","date","id","lat","long","geo"
11422,"2014-01-06 07:59:01",5,36.06730309,24.8778979,"0101000020E610000022BAB1EABDE03840213C3D639D084240"
11476,"2014-01-06 07:59:07",5,36.06735541,24.87757989,"0101000020E6100000622D5F13A9E038404F94211A9F084240"
11493,"2014-01-06 07:59:09",5,36.06733524,24.87745793,"0101000020E610000042F73815A1E038408BD5EE709E084240"
11502,"2014-01-06 07:59:10",5,36.06733602,24.87740265,"0101000020E61000007A2CC7759DE0384014DF79779E084240"
11511,"2014-01-06 07:59:11",5,36.06729756,24.87738085,"0101000020E6100000FEE208089CE038407AA6D9349D084240"
11520,"2014-01-06 07:59:12",5,36.06729251,24.87733176,"0101000020E61000002FF170D098E038409EDB7C0A9D084240"
11529,"2014-01-06 07:59:13",5,36.06731454,24.8772497,"0101000020E610000002EDB36F93E0384032EC49C39D084240"
11539,"2014-01-06 07:59:14",5,36.06733791,24.8771873,"0101000020E61000006FF7CD588FE03840919D54879E084240"
11556,"2014-01-06 07:59:16",5,36.06735171,24.87709793,"0101000020E610000043BD6C7D89E03840CCE317FB9E084240"
11573,"2014-01-06 07:59:18",5,36.06733049,24.87701305,"0101000020E61000004BEA5FED83E038406E4916499E084240"
11590,"2014-01-06 07:59:20",5,36.06734088,24.87692442,"0101000020E6100000BAF6681E7EE0384056A43EA09E084240"
11609,"2014-01-06 07:59:22",5,36.0673015,24.87680215,"0101000020E6100000FF4F0F1B76E0384062BCE6559D084240"
11617,"2014-01-06 07:59:23",5,36.06729131,24.87676242,"0101000020E61000000643808073E03840A4E06B009D084240"
11627,"2014-01-06 07:59:24",5,36.0672957,24.87674131,"0101000020E61000009080551E72E03840AA543F259D084240"
11636,"2014-01-06 07:59:25",5,36.06733868,24.87667494,"0101000020E6100000D485D4C46DE038408B2DCA8D9E084240"
11646,"2014-01-06 07:59:26",5,36.06734875,24.87665106,"0101000020E610000028B430346CE03840975643E29E084240"
11657,"2014-01-06 07:59:27",5,36.06732719,24.87655043,"0101000020E61000000E25E69B65E038403E97672D9E084240"
11676,"2014-01-06 07:59:29",5,36.06731781,24.87647193,"0101000020E61000004636E37660E03840B531B8DE9D084240"
11693,"2014-01-06 07:59:31",5,36.06733204,24.87634674,"0101000020E610000097418C4258E03840F0E216569E084240"
11702,"2014-01-06 07:59:32",5,36.06732112,24.87633254,"0101000020E61000007AB84F5457E03840745D7CFA9D084240"
11712,"2014-01-06 07:59:33",5,36.06735428,24.876266,"0101000020E6100000C498F4F752E038403EECA6109F084240"
11721,"2014-01-06 07:59:34",5,36.06733924,24.87622169,"0101000020E61000008A988E1050E03840CDC47C929E084240"
11739,"2014-01-06 07:59:36",5,36.06732675,24.87609143,"0101000020E6100000E727288747E03840AFB2B6299E084240"
11750,"2014-01-06 07:59:37",5,36.0673639,24.87604654,"0101000020E6100000EF12079644E038402BB759619F084240"
11759,"2014-01-06 07:59:38",5,36.06732178,24.87604283,"0101000020E6100000CBBEC85744E038404AB405009E084240"
11768,"2014-01-06 07:59:39",5,36.06737673,24.8759556,"0101000020E610000081BF4EA03EE0384043EEF9CC9F084240"
11778,"2014-01-06 07:59:40",5,36.06735596,24.8759339,"0101000020E61000002EF53D343DE0384002B2BE1E9F084240"
11787,"2014-01-06 07:59:41",5,36.06734784,24.87585362,"0101000020E6100000B4FB5DF137E03840CC20A1DA9E084240"
11797,"2014-01-06 07:59:42",5,36.06732232,24.87584652,"0101000020E610000025B73F7A37E038406E588D049E084240"
11804,"2014-01-06 07:59:43",5,36.06736945,24.8758044,"0101000020E610000062B197B734E03840F03FE88F9F084240"
11814,"2014-01-06 07:59:44",5,36.06732128,24.8757409,"0101000020E610000005453D8E30E0384062F6D3FB9D084240"
11822,"2014-01-06 07:59:45",5,36.06735147,24.87566478,"0101000020E6100000EA5B28912BE03840677E14F99E084240"
11837,"2014-01-06 07:59:47",5,36.06736135,24.87557926,"0101000020E610000081C15EF625E03840D8A1F54B9F084240"
11858,"2014-01-06 07:59:49",5,36.06738245,24.87546418,"0101000020E610000062EBA56B1EE038408489F5FC9F084240"
11868,"2014-01-06 07:59:50",5,36.06736468,24.87539707,"0101000020E61000000BAABA051AE03840B4C0E4679F084240"
11876,"2014-01-06 07:59:51",5,36.06736661,24.8753734,"0101000020E6100000D0C99C7818E038406D6515789F084240"
11885,"2014-01-06 07:59:52",5,36.06735989,24.87533152,"0101000020E6100000D78EFBB915E038405B4EB63F9F084240"
11893,"2014-01-06 07:59:53",5,36.06734237,24.87527712,"0101000020E61000004A564D2912E038407F64BEAC9E084240"
11903,"2014-01-06 07:59:54",5,36.06737255,24.87525454,"0101000020E6100000BCF978AE10E03840F672E9A99F084240"
11919,"2014-01-06 07:59:56",5,36.06736675,24.87514561,"0101000020E61000001F30EE8A09E038403D0B42799F084240"
11929,"2014-01-06 07:59:57",5,36.06733494,24.87510167,"0101000020E61000003253BDA906E03840CD966A6E9E084240"
11938,"2014-01-06 07:59:58",5,36.06734228,24.87499777,"0101000020E6100000123996DAFFDF3840791EFDAB9E084240"
11947,"2014-01-06 07:59:59",5,36.0673219,24.87495776,"0101000020E6100000D894543BFDDF3840FD6607019E084240"
11957,"2014-01-06 08:00:00",5,36.06733772,24.87493044,"0101000020E61000002C13FA70FBDF3840F697BC859E084240"
